,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
105,5.5,2.6,4.4,1.2,1.0
106,6.3,2.7,4.9,1.8,2.0
107,4.4,3.0,1.3,0.2,0.0
108,6.4,3.2,4.5,1.5,1.0
109,5.4,3.4,1.5,0.4,0.0
110,4.7,3.2,1.6,0.2,0.0
111,6.0,2.2,5.0,1.5,2.0
112,5.1,3.8,1.5,0.3,0.0
113,5.2,3.5,1.5,0.2,0.0
114,4.9,3.1,1.5,0.1,0.0
115,6.4,2.9,4.3,1.3,1.0
116,4.9,3.1,1.5,0.1,0.0
117,5.7,2.6,3.5,1.0,1.0
118,6.3,3.3,4.7,1.6,1.0
119,7.1,3.0,5.9,2.1,2.0
120,5.0,3.3,1.4,0.2,0.0
121,4.9,3.0,1.4,0.2,0.0
122,4.6,3.1,1.5,0.2,0.0
123,5.1,3.4,1.5,0.2,0.0
124,7.7,3.0,6.1,2.3,2.0
125,7.2,3.0,5.8,1.6,2.0
126,6.3,3.3,6.0,2.5,2.0
127,6.2,2.2,4.5,1.5,1.0
128,6.0,3.0,4.8,1.8,2.0
129,5.4,3.9,1.7,0.4,0.0
130,4.8,3.0,1.4,0.3,0.0
131,6.5,2.8,4.6,1.5,1.0
132,6.3,2.8,5.1,1.5,2.0
133,5.2,2.7,3.9,1.4,1.0
134,6.9,3.1,4.9,1.5,1.0
135,6.8,3.0,5.5,2.1,2.0
136,5.9,3.0,4.2,1.5,1.0
137,5.1,3.5,1.4,0.2,0.0
138,4.9,2.5,4.5,1.7,2.0
139,5.6,3.0,4.1,1.3,1.0
140,7.9,3.8,6.4,2.0,2.0
141,5.7,3.0,4.2,1.2,1.0
142,6.8,2.8,4.8,1.4,1.0
143,6.7,3.1,4.4,1.4,1.0
144,5.1,3.5,1.4,0.3,0.0
145,5.8,2.7,5.1,1.9,2.0
146,5.2,4.1,1.5,0.1,0.0
147,5.1,3.7,1.5,0.4,0.0
148,5.6,3.0,4.5,1.5,1.0
149,5.4,3.0,4.5,1.5,1.0
