,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
94,5.6,2.7,4.2,1.3,1
74,6.4,2.9,4.3,1.3,1
57,4.9,2.4,3.3,1.0,1
80,5.5,2.4,3.8,1.1,1
126,6.2,2.8,4.8,1.8,2
50,7.0,3.2,4.7,1.4,1
113,5.7,2.5,5.0,2.0,2
33,5.5,4.2,1.4,0.2,0
37,4.9,3.1,1.5,0.1,0
100,6.3,3.3,6.0,2.5,2
44,5.1,3.8,1.9,0.4,0
41,4.5,2.3,1.3,0.3,0
136,6.3,3.4,5.6,2.4,2
17,5.1,3.5,1.4,0.3,0
82,5.8,2.7,3.9,1.2,1
23,5.1,3.3,1.7,0.5,0
15,5.7,4.4,1.5,0.4,0
118,7.7,2.6,6.9,2.3,2
6,4.6,3.4,1.4,0.3,0
147,6.5,3.0,5.2,2.0,2
120,6.9,3.2,5.7,2.3,2
111,6.4,2.7,5.3,1.9,2
83,6.0,2.7,5.1,1.6,1
3,4.6,3.1,1.5,0.2,0
69,5.6,2.5,3.9,1.1,1
11,4.8,3.4,1.6,0.2,0
144,6.7,3.3,5.7,2.5,2
36,5.5,3.5,1.3,0.2,0
28,5.2,3.4,1.4,0.2,0
116,6.5,3.0,5.5,1.8,2
71,6.1,2.8,4.0,1.3,1
32,5.2,4.1,1.5,0.1,0
79,5.7,2.6,3.5,1.0,1
0,5.1,3.5,1.4,0.2,0
26,5.0,3.4,1.6,0.4,0
102,7.1,3.0,5.9,2.1,2
101,5.8,2.7,5.1,1.9,2
106,4.9,2.5,4.5,1.7,2
62,6.0,2.2,4.0,1.0,1
8,4.4,2.9,1.4,0.2,0
12,4.8,3.0,1.4,0.1,0
90,5.5,2.6,4.4,1.2,1
24,4.8,3.4,1.9,0.2,0
48,5.3,3.7,1.5,0.2,0
53,5.5,2.3,4.0,1.3,1
51,6.4,3.2,4.5,1.5,1
133,6.3,2.8,5.1,1.5,2
2,4.7,3.2,1.3,0.2,0
25,5.0,3.0,1.6,0.2,0
61,5.9,3.0,4.2,1.5,1
27,5.2,3.5,1.5,0.2,0
87,6.3,2.3,4.4,1.3,1
84,5.4,3.0,4.5,1.5,1
77,6.7,3.0,5.0,1.7,1
47,4.6,3.2,1.4,0.2,0
40,5.0,3.5,1.3,0.3,0
16,5.4,3.9,1.3,0.4,0
97,6.2,2.9,4.3,1.3,1
