,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
74,6.4,2.9,4.3,1.3,1
51,6.4,3.2,4.5,1.5,1
19,5.1,3.8,1.5,0.3,0
0,5.1,3.5,1.4,0.2,0
67,5.8,2.7,4.1,1.0,1
42,4.4,3.2,1.3,0.2,0
136,6.3,3.4,5.6,2.4,2
90,5.5,2.6,4.4,1.2,1
108,6.7,2.5,5.8,1.8,2
53,5.5,2.3,4.0,1.3,1
46,5.1,3.8,1.6,0.2,0
135,7.7,3.0,6.1,2.3,2
140,6.7,3.1,5.6,2.4,2
6,4.6,3.4,1.4,0.3,0
112,6.8,3.0,5.5,2.1,2
68,6.2,2.2,4.5,1.5,1
82,5.8,2.7,3.9,1.2,1
86,6.7,3.1,4.7,1.5,1
11,4.8,3.4,1.6,0.2,0
87,6.3,2.3,4.4,1.3,1
47,4.6,3.2,1.4,0.2,0
98,5.1,2.5,3.0,1.1,1
131,7.9,3.8,6.4,2.0,2
9,4.9,3.1,1.5,0.1,0
55,5.7,2.8,4.5,1.3,1
85,6.0,3.4,4.5,1.6,1
16,5.4,3.9,1.3,0.4,0
26,5.0,3.4,1.6,0.4,0
122,7.7,2.8,6.7,2.0,2
143,6.8,3.2,5.9,2.3,2
84,5.4,3.0,4.5,1.5,1
43,5.0,3.5,1.6,0.6,0
44,5.1,3.8,1.9,0.4,0
88,5.6,3.0,4.1,1.3,1
22,4.6,3.6,1.0,0.2,0
27,5.2,3.5,1.5,0.2,0
31,5.4,3.4,1.5,0.4,0
99,5.7,2.8,4.1,1.3,1
40,5.0,3.5,1.3,0.3,0
1,4.9,3.0,1.4,0.2,0
128,6.4,2.8,5.6,2.1,2
133,6.3,2.8,5.1,1.5,2
104,6.5,3.0,5.8,2.2,2
54,6.5,2.8,4.6,1.5,1
69,5.6,2.5,3.9,1.1,1
15,5.7,4.4,1.5,0.4,0
129,7.2,3.0,5.8,1.6,2
20,5.4,3.4,1.7,0.2,0
120,6.9,3.2,5.7,2.3,2
103,6.3,2.9,5.6,1.8,2
80,5.5,2.4,3.8,1.1,1
145,6.7,3.0,5.2,2.3,2
70,5.9,3.2,4.8,1.8,1
127,6.1,3.0,4.9,1.8,2
123,6.3,2.7,4.9,1.8,2
13,4.3,3.0,1.1,0.1,0
4,5.0,3.6,1.4,0.2,0
94,5.6,2.7,4.2,1.3,1
72,6.3,2.5,4.9,1.5,1
100,6.3,3.3,6.0,2.5,2
64,5.6,2.9,3.6,1.3,1
14,5.8,4.0,1.2,0.2,0
17,5.1,3.5,1.4,0.3,0
96,5.7,2.9,4.2,1.3,1
92,5.8,2.6,4.0,1.2,1
12,4.8,3.0,1.4,0.1,0
2,4.7,3.2,1.3,0.2,0
117,7.7,3.8,6.7,2.2,2
111,6.4,2.7,5.3,1.9,2
106,4.9,2.5,4.5,1.7,2
81,5.5,2.4,3.7,1.0,1
30,4.8,3.1,1.6,0.2,0
142,5.8,2.7,5.1,1.9,2
3,4.6,3.1,1.5,0.2,0
52,6.9,3.1,4.9,1.5,1
60,5.0,2.0,3.5,1.0,1
18,5.7,3.8,1.7,0.3,0
144,6.7,3.3,5.7,2.5,2
95,5.7,3.0,4.2,1.2,1
138,6.0,3.0,4.8,1.8,2
5,5.4,3.9,1.7,0.4,0
116,6.5,3.0,5.5,1.8,2
89,5.5,2.5,4.0,1.3,1
109,7.2,3.6,6.1,2.5,2
36,5.5,3.5,1.3,0.2,0
41,4.5,2.3,1.3,0.3,0
58,6.6,2.9,4.6,1.3,1
83,6.0,2.7,5.1,1.6,1
107,7.3,2.9,6.3,1.8,2
113,5.7,2.5,5.0,2.0,2
48,5.3,3.7,1.5,0.2,0
79,5.7,2.6,3.5,1.0,1
77,6.7,3.0,5.0,1.7,1
10,5.4,3.7,1.5,0.2,0
61,5.9,3.0,4.2,1.5,1
23,5.1,3.3,1.7,0.5,0
50,7.0,3.2,4.7,1.4,1
57,4.9,2.4,3.3,1.0,1
